what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui",1255846028562
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909110608,"org.eclipse.cdt.managedbuilder.core",1255846028562
started,bundle,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui",1255846028562
os,sysinfo,,,"win32",1255846028578
arch,sysinfo,,,"x86",1255846028578
ws,sysinfo,,,"win32",1255846028578
locale,sysinfo,,,"es_ES",1255846028578
processors,sysinfo,,,"2",1255846028578
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1255846028578
java.runtime.version,sysinfo,,,"1.6.0_06-b02",1255846028578
java.specification.name,sysinfo,,,"Java Platform API Specification",1255846028578
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1255846028578
java.specification.version,sysinfo,,,"1.6",1255846028578
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1255846028578
java.version,sysinfo,,,"1.6.0_06",1255846028578
java.vm.info,sysinfo,,,"mixed mode",1255846028578
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1255846028578
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1255846028578
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1255846028578
java.vm.specification.version,sysinfo,,,"1.0",1255846028578
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1255846028578
java.vm.version,sysinfo,,,"10.0-b22",1255846028578
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1255846028640
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1255846029687
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1255846030781
