what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693882265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693882265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693882359
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693890031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693891890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693911359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693913640
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693913640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693913765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693938906
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1254693939734
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254693945265
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254693948593
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.0.I20090429-1800,"org.eclipse.ui.views.properties.tabbed",1254693948625
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1254693952453
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254693955250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693959078
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1254693999156
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1254693999328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693999375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694002171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694002171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694002281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694009531
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1254694010281
