what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1254693019296
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1254693019296
java.runtime.version,sysinfo,,,"1.6.0_06-b02",1254693019296
java.specification.name,sysinfo,,,"Java Platform API Specification",1254693019296
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1254693019296
java.specification.version,sysinfo,,,"1.6",1254693019296
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1254693019296
java.version,sysinfo,,,"1.6.0_06",1254693019296
java.vm.info,sysinfo,,,"mixed mode",1254693019296
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1254693019296
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1254693019296
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1254693019296
java.vm.specification.version,sysinfo,,,"1.0",1254693019296
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1254693019296
java.vm.version,sysinfo,,,"10.0-b22",1254693019296
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1254693019390
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1254693019437
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1254693019500
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1254693019781
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1254693019796
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1254693020109
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1254693020109
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1254693020156
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1254693020218
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1254693020687
