what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889454500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889458578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889459750
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889460015
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1255889462031
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1255889462359
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1255889462500
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.SourceView",1255889468546
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.SourceView",1255889468562
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavadocView",1255889473015
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavadocView",1255889473046
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1255889475625
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889500500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889539265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889541984
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889583875
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1255889585343
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1255889622140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889623250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889623265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889623390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889653265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889654140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889654140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255889654265
