what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847466593
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847466750
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847655109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847663546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847663578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847663765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847857046
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1255847867265
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1255847867500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847869000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847869000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847869328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847872250
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1255847872296
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1255847881953
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1255847882046
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1255847882046
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1255847897671
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1255847902234
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1255847902437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847922671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847945750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847947546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255847953328
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1255847959203
