what,kind,bundleId,bundleVersion,description,time
activated,view,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.views.AVRDeviceView",1254694503343
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1254694504281
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1254694505125
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1254694511937
activated,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1254694513640
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1254694519250
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1254694519375
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1254694519453
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1254694519468
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1254694519484
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1254694519484
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254694523687
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.navigate.next",1254694527515
error,log,,,"Error starting process.",1254694532343
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694532359
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694533937
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1254694539843
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1254694576125
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254694576156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694580671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694582625
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254694586843
activated,view,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.views.AVRDeviceView",1254694593625
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1254694605671
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694608765
