what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1254693030828
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1254693030828
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1254693030890
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1254693031031
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1254693031046
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1254693031093
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1254693031093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693031234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693051890
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693060359
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693073062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693075406
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1254693088312
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1254693154000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693167812
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1254693167812
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693173343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693184953
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1254693184968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693185546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693239609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693240703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693241968
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254693242515
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1254693243968
