what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1264426944856
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1264426944872
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1264426945325
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1264426945778
opened,editor,com.android.ide.eclipse.adt,0.9.3.v200909031112-12945,"com.android.ide.eclipse.editors.layout.LayoutEditor",1264426947122
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1264426947950
activated,editor,com.android.ide.eclipse.adt,0.9.3.v200909031112-12945,"com.android.ide.eclipse.editors.layout.LayoutEditor",1264426948731
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426964794
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426969106
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.properties",1264426969153
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426991638
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427000481
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427003559
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427010763
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264427023200
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264427027325
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427040341
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427040356
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427040372
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427054372
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264427054575
activated,editor,com.android.ide.eclipse.adt,0.9.3.v200909031112-12945,"com.android.ide.eclipse.editors.layout.LayoutEditor",1264427055591
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427057669
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427060106
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427065497
