what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1254694140531
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1254694141687
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1254694142781
activated,view,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.views.AVRDeviceView",1254694143156
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254694166484
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254694198000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694204046
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1254694223421
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694240734
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.properties",1254694240750
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1254694242343
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694242609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694245906
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1254694247781
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254694271765
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254694280000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694284921
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694284968
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1254694285031
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1254694285078
error,log,,,"Error starting process.",1254694285906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694286000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694295500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694297312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254694311234
