what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1269992482480
started,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1269992482527
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1269992482574
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1269992482637
started,bundle,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui",1269992482637
started,bundle,com.android.ide.eclipse.adt,0.9.3.v200909031112-12945,"com.android.ide.eclipse.adt",1269992482637
started,bundle,com.android.ide.eclipse.ddms,0.9.3.v200909031112-12945,"com.android.ide.eclipse.ddms",1269992482637
os,sysinfo,,,"win32",1269992482637
arch,sysinfo,,,"x86",1269992482637
ws,sysinfo,,,"win32",1269992482637
locale,sysinfo,,,"es_ES",1269992482637
processors,sysinfo,,,"2",1269992482637
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1269992482637
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1269992482637
java.specification.name,sysinfo,,,"Java Platform API Specification",1269992482637
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269992482637
java.specification.version,sysinfo,,,"1.6",1269992482637
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1269992482637
java.version,sysinfo,,,"1.6.0_16",1269992482637
java.vm.info,sysinfo,,,"mixed mode",1269992482637
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1269992482637
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269992482637
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269992482637
java.vm.specification.version,sysinfo,,,"1.0",1269992482637
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1269992482637
